date,day,segment_id,segment_index,latitude,longitude,land_use,land_use_encoded,segment_type,upstream_count,upstream_concentration,flow_rate,concentration,true_source_sink,true_role
2024-01-01,0,S15,14,39.2,-74.9,urban,2,outlet,1,3.5154340070857266,40.6962820621481,3.3044308665735045,0.0,neutral
2024-01-02,1,S1,0,40.0,-75.0,forest,0,headwater,0,0.0,1.022151658494343,2.3581138031771283,0.0,neutral
2024-01-02,1,S2,1,40.1,-75.1,forest,0,headwater,0,0.0,1.022151658494343,3.020258461406377,0.0,neutral
2024-01-02,1,S3,2,40.0,-74.9,agriculture,1,headwater,0,0.0,1.022151658494343,10.572575544135963,8.0,source
2024-01-02,1,S6,3,39.8,-74.8,urban,2,tributary,0,0.0,2.5553791462358575,8.836685182642444,6.0,source
2024-01-02,1,S10,4,39.6,-74.8,urban,2,tributary,0,0.0,2.5553791462358575,8.03327677691296,5.0,source
2024-01-02,1,S12,5,39.5,-75.0,forest,0,tributary,0,0.0,2.5553791462358575,0.0,-3.0,sink
2024-01-02,1,S4,6,39.9,-75.0,forest,0,tributary,2,2.689186132291753,3.044303316988686,2.8018955377954544,0.0,neutral
2024-01-02,1,S5,7,39.9,-74.9,agriculture,1,tributary,1,10.572575544135963,2.022151658494343,10.392383937160321,0.0,neutral
2024-01-02,1,S7,8,39.8,-75.0,forest,0,main_stem,1,2.8018955377954544,6.044303316988686,2.714387412857471,0.0,neutral
2024-01-02,1,S8,9,39.7,-74.9,wetland,3,main_stem,2,9.614534559901383,7.5775308047302,4.843412444488943,-4.5,sink
2024-01-02,1,S9,10,39.6,-74.9,agriculture,1,main_stem,2,3.7788999286732072,16.621834121718887,4.454401305438632,0.0,neutral
2024-01-02,1,S11,11,39.5,-74.9,urban,2,main_stem,2,6.2438390411757965,22.177213267954745,4.927240183167301,0.0,neutral
2024-01-02,1,S13,12,39.4,-74.9,urban,2,lower_reach,2,2.4636200915836506,29.732592414190602,4.100842915155705,0.0,neutral
2024-01-02,1,S14,13,39.3,-74.9,urban,2,lower_reach,1,4.100842915155705,34.732592414190606,4.347606388786661,0.0,neutral
2024-01-02,1,S15,14,39.2,-74.9,urban,2,outlet,1,4.347606388786661,40.732592414190606,3.9813532937953546,0.0,neutral
2024-01-03,2,S1,0,40.0,-75.0,forest,0,headwater,0,0.0,1.0258995448275794,3.833493912465732,0.0,neutral
2024-01-03,2,S2,1,40.1,-75.1,forest,0,headwater,0,0.0,1.0258995448275794,3.3580919172846952,0.0,neutral
2024-01-03,2,S3,2,40.0,-74.9,agriculture,1,headwater,0,0.0,1.0258995448275794,11.06559149481616,8.0,source
2024-01-03,2,S6,3,39.8,-74.8,urban,2,tributary,0,0.0,2.5647488620689485,9.264528311684582,6.0,source
2024-01-03,2,S10,4,39.6,-74.8,urban,2,tributary,0,0.0,2.5647488620689485,7.697274397140467,5.0,source
2024-01-03,2,S12,5,39.5,-75.0,forest,0,tributary,0,0.0,2.5647488620689485,0.0,-3.0,sink
2024-01-03,2,S4,6,39.9,-75.0,forest,0,tributary,2,3.5957929148752137,3.051799089655159,3.8279030399253178,0.0,neutral
2024-01-03,2,S5,7,39.9,-74.9,agriculture,1,tributary,1,11.06559149481616,2.0258995448275794,10.904148996317272,0.0,neutral
2024-01-03,2,S7,8,39.8,-75.0,forest,0,main_stem,1,3.8279030399253178,6.051799089655159,3.4238996107169144,0.0,neutral
2024-01-03,2,S8,9,39.7,-74.9,wetland,3,main_stem,2,10.084338654000927,7.590648406896528,5.223932113495479,-4.5,sink
2024-01-03,2,S9,10,39.6,-74.9,agriculture,1,main_stem,2,4.323915862106197,16.642447496551686,4.086270766203862,0.0,neutral
2024-01-03,2,S11,11,39.5,-74.9,urban,2,main_stem,2,5.891772581672164,22.207196358620635,4.608778989135579,0.0,neutral
2024-01-03,2,S13,12,39.4,-74.9,urban,2,lower_reach,2,2.3043894945677894,29.771945220689584,4.306248590071492,0.0,neutral
2024-01-03,2,S14,13,39.3,-74.9,urban,2,lower_reach,1,4.306248590071492,34.77194522068959,4.572573127949499,0.0,neutral
2024-01-03,2,S15,14,39.2,-74.9,urban,2,outlet,1,4.572573127949499,40.77194522068959,4.840872826982127,0.0,neutral
2024-01-04,3,S1,0,40.0,-75.0,forest,0,headwater,0,0.0,1.8538849406672875,3.226499339173421,0.0,neutral
2024-01-04,3,S2,1,40.1,-75.1,forest,0,headwater,0,0.0,1.8538849406672875,2.7482347430332084,0.0,neutral
2024-01-04,3,S3,2,40.0,-74.9,agriculture,1,headwater,0,0.0,1.8538849406672875,14.907236287244636,8.0,source
2024-01-04,3,S6,3,39.8,-74.8,urban,2,tributary,0,0.0,4.6347123516682185,12.099379029421069,6.0,source
2024-01-04,3,S10,4,39.6,-74.8,urban,2,tributary,0,0.0,4.6347123516682185,10.792663538136708,5.0,source
2024-01-04,3,S12,5,39.5,-75.0,forest,0,tributary,0,0.0,4.6347123516682185,0.7562477286464133,-3.0,sink
2024-01-04,3,S4,6,39.9,-75.0,forest,0,tributary,2,2.9873670411033144,4.707769881334575,2.93166934810417,0.0,neutral
2024-01-04,3,S5,7,39.9,-74.9,agriculture,1,tributary,1,14.907236287244636,2.8538849406672875,14.575335795042827,0.0,neutral
2024-01-04,3,S7,8,39.8,-75.0,forest,0,main_stem,1,2.93166934810417,7.707769881334575,2.5728073608799686,0.0,neutral
2024-01-04,3,S8,9,39.7,-74.9,wetland,3,main_stem,2,13.337357412231949,10.488597292335506,10.136717456380111,-4.5,sink
2024-01-04,3,S9,10,39.6,-74.9,agriculture,1,main_stem,2,6.35476240863004,21.19636717367008,7.339604962837157,0.0,neutral
2024-01-04,3,S11,11,39.5,-74.9,urban,2,main_stem,2,9.066134250486932,28.831079525338296,7.937563072240684,0.0,neutral
2024-01-04,3,S13,12,39.4,-74.9,urban,2,lower_reach,2,4.346905400443548,38.46579187700652,7.244075104625865,0.0,neutral
2024-01-04,3,S14,13,39.3,-74.9,urban,2,lower_reach,1,7.244075104625865,43.46579187700652,7.352565912140155,0.0,neutral
2024-01-04,3,S15,14,39.2,-74.9,urban,2,outlet,1,7.352565912140155,49.46579187700652,7.159029985758618,0.0,neutral
2024-01-05,4,S1,0,40.0,-75.0,forest,0,headwater,0,0.0,1.0342600623451452,3.448630275865042,0.0,neutral
2024-01-05,4,S2,1,40.1,-75.1,forest,0,headwater,0,0.0,1.0342600623451452,3.1014543755979957,0.0,neutral
2024-01-05,4,S3,2,40.0,-74.9,agriculture,1,headwater,0,0.0,1.0342600623451452,12.011688876088002,8.0,source
2024-01-05,4,S6,3,39.8,-74.8,urban,2,tributary,0,0.0,2.5856501558628633,8.723882758479787,6.0,source
2024-01-05,4,S10,4,39.6,-74.8,urban,2,tributary,0,0.0,2.5856501558628633,7.880408482995439,5.0,source
2024-01-05,4,S12,5,39.5,-75.0,forest,0,tributary,0,0.0,2.5856501558628633,0.0,-3.0,sink
2024-01-05,4,S4,6,39.9,-75.0,forest,0,tributary,2,3.275042325731519,3.0685201246902905,2.8494171881540984,0.0,neutral
2024-01-05,4,S5,7,39.9,-74.9,agriculture,1,tributary,1,12.011688876088002,2.0342600623451452,12.324436361289829,0.0,neutral
2024-01-05,4,S7,8,39.8,-75.0,forest,0,main_stem,1,2.8494171881540984,6.0685201246902905,3.120476935341851,0.0,neutral
2024-01-05,4,S8,9,39.7,-74.9,wetland,3,main_stem,2,10.524159559884808,7.619910218208009,5.814995138682635,-4.5,sink
2024-01-05,4,S9,10,39.6,-74.9,agriculture,1,main_stem,2,4.4677360370122425,16.6884303428983,4.460103876588258,0.0,neutral
2024-01-05,4,S11,11,39.5,-74.9,urban,2,main_stem,2,6.170256179791849,22.274080498761165,4.4704273024891705,0.0,neutral
2024-01-05,4,S13,12,39.4,-74.9,urban,2,lower_reach,2,2.2352136512445853,29.85973065462403,3.7686825356481606,0.0,neutral
2024-01-05,4,S14,13,39.3,-74.9,urban,2,lower_reach,1,3.7686825356481606,34.85973065462403,3.991795920779529,0.0,neutral
2024-01-05,4,S15,14,39.2,-74.9,urban,2,outlet,1,3.991795920779529,40.85973065462403,3.9281474942660406,0.0,neutral
2024-01-06,5,S1,0,40.0,-75.0,forest,0,headwater,0,0.0,1.0388702161276993,2.8719393617880833,0.0,neutral
2024-01-06,5,S2,1,40.1,-75.1,forest,0,headwater,0,0.0,1.0388702161276993,3.2746206353106224,0.0,neutral
2024-01-06,5,S3,2,40.0,-74.9,agriculture,1,headwater,0,0.0,1.0388702161276993,11.098625332897905,8.0,source
2024-01-06,5,S6,3,39.8,-74.8,urban,2,tributary,0,0.0,2.597175540319248,8.841071938869888,6.0,source
2024-01-06,5,S10,4,39.6,-74.8,urban,2,tributary,0,0.0,2.597175540319248,8.153980229934007,5.0,source
2024-01-06,5,S12,5,39.5,-75.0,forest,0,tributary,0,0.0,2.597175540319248,0.029123264804412116,-3.0,sink
2024-01-06,5,S4,6,39.9,-75.0,forest,0,tributary,2,3.073279998549353,3.0777404322553985,3.36387349570922,0.0,neutral
2024-01-06,5,S5,7,39.9,-74.9,agriculture,1,tributary,1,11.098625332897905,2.038870216127699,10.8880094047347,0.0,neutral
2024-01-06,5,S7,8,39.8,-75.0,forest,0,main_stem,1,3.36387349570922,6.077740432255398,3.2655748517298893,0.0,neutral
2024-01-06,5,S8,9,39.7,-74.9,wetland,3,main_stem,2,9.864540671802294,7.636045756446947,5.123654903363589,-4.5,sink
2024-01-06,5,S9,10,39.6,-74.9,agriculture,1,main_stem,2,4.194614877546739,16.713786188702343,3.8611277396222565,0.0,neutral
2024-01-06,5,S11,11,39.5,-74.9,urban,2,main_stem,2,6.007553984778132,22.310961729021592,4.5273194015308755,0.0,neutral
2024-01-06,5,S13,12,39.4,-74.9,urban,2,lower_reach,2,2.278221333167644,29.90813726934084,4.136608337498767,0.0,neutral
2024-01-06,5,S14,13,39.3,-74.9,urban,2,lower_reach,1,4.136608337498767,34.90813726934084,4.138142374491506,0.0,neutral
2024-01-06,5,S15,14,39.2,-74.9,urban,2,outlet,1,4.138142374491506,40.90813726934084,4.067766234478961,0.0,neutral
2024-01-07,6,S1,0,40.0,-75.0,forest,0,headwater,0,0.0,1.0437651734080944,2.881345064525912,0.0,neutral
2024-01-07,6,S2,1,40.1,-75.1,forest,0,headwater,0,0.0,1.0437651734080944,2.9132589430590174,0.0,neutral
2024-01-07,6,S3,2,40.0,-74.9,agriculture,1,headwater,0,0.0,1.0437651734080944,11.135880897960053,8.0,source
2024-01-07,6,S6,3,39.8,-74.8,urban,2,tributary,0,0.0,2.609412933520236,8.95018172749468,6.0,source
2024-01-07,6,S10,4,39.6,-74.8,urban,2,tributary,0,0.0,2.609412933520236,8.064481649028426,5.0,source
2024-01-07,6,S12,5,39.5,-75.0,forest,0,tributary,0,0.0,2.609412933520236,0.0,-3.0,sink
2024-01-07,6,S4,6,39.9,-75.0,forest,0,tributary,2,2.897302003792465,3.0875303468161888,2.614384961252286,0.0,neutral
2024-01-07,6,S5,7,39.9,-74.9,agriculture,1,tributary,1,11.135880897960053,2.0437651734080946,11.557068519557841,0.0,neutral
2024-01-07,6,S7,8,39.8,-75.0,forest,0,main_stem,1,2.614384961252286,6.087530346816189,2.608819719898794,0.0,neutral
2024-01-07,6,S8,9,39.7,-74.9,wetland,3,main_stem,2,10.25362512352626,7.653178106928331,5.093125076582314,-4.5,sink
2024-01-07,6,S9,10,39.6,-74.9,agriculture,1,main_stem,2,3.850972398240554,16.74070845374452,3.6707465661391443,0.0,neutral
2024-01-07,6,S11,11,39.5,-74.9,urban,2,main_stem,2,5.867614107583785,22.350121387264757,3.965477029064014,0.0,neutral
2024-01-07,6,S13,12,39.4,-74.9,urban,2,lower_reach,2,1.982738514532007,29.959534320784993,3.581607611650126,0.0,neutral
2024-01-07,6,S14,13,39.3,-74.9,urban,2,lower_reach,1,3.581607611650126,34.959534320785,3.451824827485722,0.0,neutral
2024-01-07,6,S15,14,39.2,-74.9,urban,2,outlet,1,3.451824827485722,40.959534320785,3.2540701367547786,0.0,neutral
2024-01-08,7,S1,0,40.0,-75.0,forest,0,headwater,0,0.0,1.0489434837048464,3.0011811913294206,0.0,neutral
2024-01-08,7,S2,1,40.1,-75.1,forest,0,headwater,0,0.0,1.0489434837048464,2.942291710565663,0.0,neutral
2024-01-08,7,S3,2,40.0,-74.9,agriculture,1,headwater,0,0.0,1.0489434837048464,11.090464202700083,8.0,source
2024-01-08,7,S6,3,39.8,-74.8,urban,2,tributary,0,0.0,2.622358709262116,8.989586469088428,6.0,source
2024-01-08,7,S10,4,39.6,-74.8,urban,2,tributary,0,0.0,2.622358709262116,7.64939658871414,5.0,source
2024-01-08,7,S12,5,39.5,-75.0,forest,0,tributary,0,0.0,2.622358709262116,0.34284684435450613,-3.0,sink
2024-01-08,7,S4,6,39.9,-75.0,forest,0,tributary,2,2.971736450947542,3.0978869674096927,3.197316360753574,0.0,neutral
2024-01-08,7,S5,7,39.9,-74.9,agriculture,1,tributary,1,11.090464202700083,2.0489434837048464,11.327773786812998,0.0,neutral
2024-01-08,7,S7,8,39.8,-75.0,forest,0,main_stem,1,3.197316360753574,6.097886967409693,2.924500124315152,0.0,neutral
2024-01-08,7,S8,9,39.7,-74.9,wetland,3,main_stem,2,10.158680127950714,7.671302192966962,5.936008950766669,-4.5,sink
2024-01-08,7,S9,10,39.6,-74.9,agriculture,1,main_stem,2,4.430254537540911,16.769189160376655,4.181762866905344,0.0,neutral
2024-01-08,7,S11,11,39.5,-74.9,urban,2,main_stem,2,5.915579727809742,22.39154786963877,4.826755200839582,0.0,neutral
2024-01-08,7,S13,12,39.4,-74.9,urban,2,lower_reach,2,2.584801022597044,30.013906578900887,5.0138167288680195,0.0,neutral
2024-01-08,7,S14,13,39.3,-74.9,urban,2,lower_reach,1,5.0138167288680195,35.01390657890089,4.716655831328813,0.0,neutral
2024-01-08,7,S15,14,39.2,-74.9,urban,2,outlet,1,4.716655831328813,41.01390657890089,4.546766512447982,0.0,neutral
2024-01-09,8,S1,0,40.0,-75.0,forest,0,headwater,0,0.0,1.8979265026311436,3.5119814861035383,0.0,neutral
2024-01-09,8,S2,1,40.1,-75.1,forest,0,headwater,0,0.0,1.8979265026311436,3.2620768246906136,0.0,neutral
2024-01-09,8,S3,2,40.0,-74.9,agriculture,1,headwater,0,0.0,1.8979265026311436,15.002743303722042,8.0,source
2024-01-09,8,S6,3,39.8,-74.8,urban,2,tributary,0,0.0,4.744816256577859,11.890338210950237,6.0,source
2024-01-09,8,S10,4,39.6,-74.8,urban,2,tributary,0,0.0,4.744816256577859,10.694726019788732,5.0,source
2024-01-09,8,S12,5,39.5,-75.0,forest,0,tributary,0,0.0,4.744816256577859,0.5331379389974084,-3.0,sink
2024-01-09,8,S4,6,39.9,-75.0,forest,0,tributary,2,3.3870291553970757,4.795853005262288,3.5479299651116953,0.0,neutral
2024-01-09,8,S5,7,39.9,-74.9,agriculture,1,tributary,1,15.002743303722042,2.897926502631144,14.728336024343658,0.0,neutral
2024-01-09,8,S7,8,39.8,-75.0,forest,0,main_stem,1,3.5479299651116953,7.795853005262288,3.7340944299002157,0.0,neutral
2024-01-09,8,S8,9,39.7,-74.9,wetland,3,main_stem,2,13.309337117646947,10.642742759209003,9.768150926073353,-4.5,sink
2024-01-09,8,S9,10,39.6,-74.9,agriculture,1,main_stem,2,6.751122677986785,21.43859576447129,7.100467703952249,0.0,neutral
2024-01-09,8,S11,11,39.5,-74.9,urban,2,main_stem,2,8.89759686187049,29.18341202104915,7.486146036443579,0.0,neutral
2024-01-09,8,S13,12,39.4,-74.9,urban,2,lower_reach,2,4.009641987720493,38.92822827762701,6.406753869114268,0.0,neutral
2024-01-09,8,S14,13,39.3,-74.9,urban,2,lower_reach,1,6.406753869114268,43.92822827762701,6.573590408674457,0.0,neutral
2024-01-09,8,S15,14,39.2,-74.9,urban,2,outlet,1,6.573590408674457,49.92822827762701,6.886748591950054,0.0,neutral
2024-01-10,9,S1,0,40.0,-75.0,forest,0,headwater,0,0.0,1.0601439420581045,3.157934448400409,0.0,neutral
2024-01-10,9,S2,1,40.1,-75.1,forest,0,headwater,0,0.0,1.0601439420581045,2.5177550296316316,0.0,neutral
2024-01-10,9,S3,2,40.0,-74.9,agriculture,1,headwater,0,0.0,1.0601439420581045,11.05539015755969,8.0,source
2024-01-10,9,S6,3,39.8,-74.8,urban,2,tributary,0,0.0,2.650359855145261,9.077964838274527,6.0,source
2024-01-10,9,S10,4,39.6,-74.8,urban,2,tributary,0,0.0,2.650359855145261,8.234546861533193,5.0,source
2024-01-10,9,S12,5,39.5,-75.0,forest,0,tributary,0,0.0,2.650359855145261,0.0,-3.0,sink
2024-01-10,9,S4,6,39.9,-75.0,forest,0,tributary,2,2.8378447390160204,3.120287884116209,2.4417077550907376,0.0,neutral
2024-01-10,9,S5,7,39.9,-74.9,agriculture,1,tributary,1,11.05539015755969,2.0601439420581045,11.21197262724476,0.0,neutral
2024-01-10,9,S7,8,39.8,-75.0,forest,0,main_stem,1,2.4417077550907376,6.120287884116209,2.5308031570606935,0.0,neutral
2024-01-10,9,S8,9,39.7,-74.9,wetland,3,main_stem,2,10.144968732759644,7.710503797203366,5.58642331322366,-4.5,sink
2024-01-10,9,S9,10,39.6,-74.9,agriculture,1,main_stem,2,4.058613235142177,16.830791681319575,4.338209941651664,0.0,neutral
2024-01-10,9,S11,11,39.5,-74.9,urban,2,main_stem,2,6.286378401592429,22.481151536464836,4.664289000571773,0.0,neutral
2024-01-10,9,S13,12,39.4,-74.9,urban,2,lower_reach,2,2.3321445002858865,30.131511391610097,4.242070924476684,0.0,neutral
2024-01-10,9,S14,13,39.3,-74.9,urban,2,lower_reach,1,4.242070924476684,35.1315113916101,4.329992666466288,0.0,neutral
2024-01-10,9,S15,14,39.2,-74.9,urban,2,outlet,1,4.329992666466288,41.1315113916101,4.115687241058378,0.0,neutral
2024-01-11,10,S1,0,40.0,-75.0,forest,0,headwater,0,0.0,1.9190929881187349,3.0524499035974415,0.0,neutral
2024-01-11,10,S2,1,40.1,-75.1,forest,0,headwater,0,0.0,1.9190929881187349,2.6349435322922283,0.0,neutral
2024-01-11,10,S3,2,40.0,-74.9,agriculture,1,headwater,0,0.0,1.9190929881187349,15.31480421769626,8.0,source
2024-01-11,10,S6,3,39.8,-74.8,urban,2,tributary,0,0.0,4.797732470296837,12.39753169845426,6.0,source
2024-01-11,10,S10,4,39.6,-74.8,urban,2,tributary,0,0.0,4.797732470296837,10.720350319464014,5.0,source
2024-01-11,10,S12,5,39.5,-75.0,forest,0,tributary,0,0.0,4.797732470296837,0.6136508214115742,-3.0,sink
2024-01-11,10,S4,6,39.9,-75.0,forest,0,tributary,2,2.8436967179448347,4.83818597623747,2.618342890545656,0.0,neutral
2024-01-11,10,S5,7,39.9,-74.9,agriculture,1,tributary,1,15.31480421769626,2.919092988118735,14.9756758017601,0.0,neutral
2024-01-11,10,S7,8,39.8,-75.0,forest,0,main_stem,1,2.618342890545656,7.83818597623747,2.849336098524894,0.0,neutral
2024-01-11,10,S8,9,39.7,-74.9,wetland,3,main_stem,2,13.686603750107182,10.716825458415572,10.603299636708243,-4.5,sink
2024-01-11,10,S9,10,39.6,-74.9,agriculture,1,main_stem,2,6.726317867616569,21.555011434653043,7.4551418283839626,0.0,neutral
2024-01-11,10,S11,11,39.5,-74.9,urban,2,main_stem,2,9.087746073923988,29.35274390494988,8.331760403833458,0.0,neutral
2024-01-11,10,S13,12,39.4,-74.9,urban,2,lower_reach,2,4.472705612622517,39.15047637524672,6.9871662197875235,0.0,neutral
2024-01-11,10,S14,13,39.3,-74.9,urban,2,lower_reach,1,6.9871662197875235,44.15047637524672,7.0309247755160165,0.0,neutral
2024-01-11,10,S15,14,39.2,-74.9,urban,2,outlet,1,7.0309247755160165,50.15047637524672,6.619963458501128,0.0,neutral
2024-01-12,11,S1,0,40.0,-75.0,forest,0,headwater,0,0.0,1.0724583164208035,2.7684657751520225,0.0,neutral
2024-01-12,11,S2,1,40.1,-75.1,forest,0,headwater,0,0.0,1.0724583164208035,2.976869487175769,0.0,neutral
2024-01-12,11,S3,2,40.0,-74.9,agriculture,1,headwater,0,0.0,1.0724583164208035,11.102345592444992,8.0,source
2024-01-12,11,S6,3,39.8,-74.8,urban,2,tributary,0,0.0,2.6811457910520087,9.083007239799006,6.0,source
2024-01-12,11,S10,4,39.6,-74.8,urban,2,tributary,0,0.0,2.6811457910520087,8.248154974710808,5.0,source
2024-01-12,11,S12,5,39.5,-75.0,forest,0,tributary,0,0.0,2.6811457910520087,0.0039005675633721057,-3.0,sink
2024-01-12,11,S4,6,39.9,-75.0,forest,0,tributary,2,2.8726676311638957,3.144916632841607,3.3087278543110905,0.0,neutral
2024-01-12,11,S5,7,39.9,-74.9,agriculture,1,tributary,1,11.102345592444992,2.0724583164208035,11.022948542473605,0.0,neutral
2024-01-12,11,S7,8,39.8,-75.0,forest,0,main_stem,1,3.3087278543110905,6.144916632841607,4.124778604287976,0.0,neutral
2024-01-12,11,S8,9,39.7,-74.9,wetland,3,main_stem,2,10.052977891136305,7.753604107472812,5.616475706524595,-4.5,sink
2024-01-12,11,S9,10,39.6,-74.9,agriculture,1,main_stem,2,4.870627155406286,16.898520740314417,4.699808300301198,0.0,neutral
2024-01-12,11,S11,11,39.5,-74.9,urban,2,main_stem,2,6.473981637506003,22.579666531366428,4.864434155661371,0.0,neutral
2024-01-12,11,S13,12,39.4,-74.9,urban,2,lower_reach,2,2.4341673616123716,30.260812322418438,4.493285931579333,0.0,neutral
2024-01-12,11,S14,13,39.3,-74.9,urban,2,lower_reach,1,4.493285931579333,35.26081232241844,4.426247095981577,0.0,neutral
2024-01-12,11,S15,14,39.2,-74.9,urban,2,outlet,1,4.426247095981577,41.26081232241844,4.640447244209205,0.0,neutral
2024-01-13,12,S1,0,40.0,-75.0,forest,0,headwater,0,0.0,1.9422516821100575,2.962760283335502,0.0,neutral
2024-01-13,12,S2,1,40.1,-75.1,forest,0,headwater,0,0.0,1.9422516821100575,3.2221022453843213,0.0,neutral
2024-01-13,12,S3,2,40.0,-74.9,agriculture,1,headwater,0,0.0,1.9422516821100575,14.8642613302966,8.0,source
2024-01-13,12,S6,3,39.8,-74.8,urban,2,tributary,0,0.0,4.855629205275144,12.233114938471083,6.0,source
2024-01-13,12,S10,4,39.6,-74.8,urban,2,tributary,0,0.0,4.855629205275144,10.813671350503895,5.0,source
2024-01-13,12,S12,5,39.5,-75.0,forest,0,tributary,0,0.0,4.855629205275144,0.797357486218386,-3.0,sink
2024-01-13,12,S4,6,39.9,-75.0,forest,0,tributary,2,3.0924312643599117,4.884503364220115,2.8146172785964683,0.0,neutral
2024-01-13,12,S5,7,39.9,-74.9,agriculture,1,tributary,1,14.8642613302966,2.9422516821100575,14.710371735005912,0.0,neutral
2024-01-13,12,S7,8,39.8,-75.0,forest,0,main_stem,1,2.8146172785964683,7.884503364220115,3.0276500507056543,0.0,neutral
2024-01-13,12,S8,9,39.7,-74.9,wetland,3,main_stem,2,13.471743336738498,10.797880887385201,10.04556292305762,-4.5,sink
2024-01-13,12,S9,10,39.6,-74.9,agriculture,1,main_stem,2,6.536606486881637,21.682384251605317,7.272824373140663,0.0,neutral
2024-01-13,12,S11,11,39.5,-74.9,urban,2,main_stem,2,9.04324786182228,29.53801345688046,8.449570234488666,0.0,neutral
2024-01-13,12,S13,12,39.4,-74.9,urban,2,lower_reach,2,4.623463860353526,39.39364266215561,7.43853147649746,0.0,neutral
2024-01-13,12,S14,13,39.3,-74.9,urban,2,lower_reach,1,7.43853147649746,44.39364266215561,7.195850409080351,0.0,neutral
2024-01-13,12,S15,14,39.2,-74.9,urban,2,outlet,1,7.195850409080351,50.39364266215561,7.513077461739064,0.0,neutral
2024-01-14,13,S1,0,40.0,-75.0,forest,0,headwater,0,0.0,1.0858720118146663,3.0154082578438905,0.0,neutral
2024-01-14,13,S2,1,40.1,-75.1,forest,0,headwater,0,0.0,1.0858720118146663,3.3249153729525833,0.0,neutral
2024-01-14,13,S3,2,40.0,-74.9,agriculture,1,headwater,0,0.0,1.0858720118146663,11.31614061561047,8.0,source
2024-01-14,13,S6,3,39.8,-74.8,urban,2,tributary,0,0.0,2.714680029536666,8.586699189612872,6.0,source
2024-01-14,13,S10,4,39.6,-74.8,urban,2,tributary,0,0.0,2.714680029536666,7.718652488025463,5.0,source
2024-01-14,13,S12,5,39.5,-75.0,forest,0,tributary,0,0.0,2.714680029536666,0.15451058016259792,-3.0,sink
2024-01-14,13,S4,6,39.9,-75.0,forest,0,tributary,2,3.170161815398237,3.1717440236293326,3.3242976006719,0.0,neutral
2024-01-14,13,S5,7,39.9,-74.9,agriculture,1,tributary,1,11.31614061561047,2.0858720118146663,11.470654921502284,0.0,neutral
2024-01-14,13,S7,8,39.8,-75.0,forest,0,main_stem,1,3.3242976006719,6.171744023629333,4.480117047868316,0.0,neutral
2024-01-14,13,S8,9,39.7,-74.9,wetland,3,main_stem,2,10.028677055557578,7.800552041351333,5.511064422509017,-4.5,sink
2024-01-14,13,S9,10,39.6,-74.9,agriculture,1,main_stem,2,4.995590735188667,16.972296064980664,5.396351315020158,0.0,neutral
2024-01-14,13,S11,11,39.5,-74.9,urban,2,main_stem,2,6.55750190152281,22.68697609451733,6.0027790128654015,0.0,neutral
2024-01-14,13,S13,12,39.4,-74.9,urban,2,lower_reach,2,3.078644796514,30.401656124053996,5.573190780587564,0.0,neutral
2024-01-14,13,S14,13,39.3,-74.9,urban,2,lower_reach,1,5.573190780587564,35.401656124054,5.47861000719546,0.0,neutral
2024-01-14,13,S15,14,39.2,-74.9,urban,2,outlet,1,5.47861000719546,41.401656124054,5.7063007733434405,0.0,neutral
2024-01-15,14,S1,0,40.0,-75.0,forest,0,headwater,0,0.0,1.092986187197364,3.0495068394328015,0.0,neutral
